seqnames	start	end	width	strand	score	replicateScoreQuantile	groupScoreQuantile	Reproducibility	GroupReplicate	distToGeneStart	nearestGene	peakType	distToTSS	nearestTSS	GC	idx	N	peak_id
chr14	35232435	35232935	501	*	23.99184	0.605	0.457	3	Microglia._.Other	45947	PSMA6	Intronic	45947	uc061kuf.1	0.4631	1592	0	Peak61859
chr14	100066200	100066700	501	*	60.15959	0.828	0.75	5	Microglia._.Other	43063	MIR151B	Exonic	12	uc061lyp.1	0.4052	772	0	Peak63913
chr14	77028464	77028964	501	*	86.26909	0.978	0.96	5	Microglia._.D19-12703	14	IRF2BPL	Promoter	14	uc061loj.1	0.7206	134	0	Peak63225
chr14	24430776	24431276	501	*	6.36661	0.159	0.05	3	Microglia._.Other	71	CBLN3	Promoter	71	uc032nrh.2	0.5729	2682	0	Peak61753
chr14	91253261	91253761	501	*	13.30873	0.429	0.259	4	Microglia._.Other	413	GPR68	Intronic	368	uc061lsj.1	0.7824	2151	0	Peak63627
chr14	58298291	58298791	501	*	43.39042	0.925	0.882	5	Microglia._.D19-13169	155	ARID4A	Promoter	14	uc010ysf.3	0.5549	369	0	Peak62259
chr14	58396289	58396789	501	*	27.68663	0.804	0.721	5	Microglia._.D19-13166	622	TOMM20L	Intronic	610	uc061lcn.1	0.5549	864	0	Peak62265
chr14	73239446	73239946	501	*	6.36661	0.159	0.05	2	Microglia._.Other	2198	PAPLN	Exonic	70	uc021vkc.2	0.6407	2701	0	Peak62897
chr14	70883180	70883680	501	*	72.26996	0.864	0.797	5	Microglia._.Other	23974	PCNX1	Distal	23680	uc061ljm.1	0.4531	628	0	Peak62847
chr14	75176097	75176597	501	*	17.87114	0.904	0.851	4	Microglia._.D19-13165	283	TMED10	Intronic	184	uc061lnh.1	0.6667	456	0	Peak63032
chr14	103443330	103443830	501	*	8.02917	0.294	0.128	2	Microglia._.D19-12703	58187	MARK3	Intronic	14386	uc002taq.5	0.3812	2497	0	Peak64093
chr14	31128762	31129262	501	*	42.06086	0.75	0.643	4	Microglia._.Other	78791	HECTD1	Exonic	293	uc061krz.1	0.4631	1058	0	Peak61784
chr14	102304953	102305453	501	*	93.90807	0.908	0.858	4	Microglia._.Other	2	MOK	Promoter	2	uc061mip.1	0.5768	440	0	Peak64023
chr14	24215850	24216350	501	*	59.91006	0.965	0.94	5	Microglia._.D19-13166	29	MDP1	Promoter	29	uc061kpv.1	0.5749	184	0	Peak61711
chr14	24395570	24396070	501	*	30.38544	0.85	0.778	5	Microglia._.D19-13169	2965	NYNRIN	Distal	2965	uc061kql.1	0.523	683	0	Peak61747
chr14	81178073	81178573	501	*	14.56691	0.458	0.278	3	Microglia._.Other	24510	SNORA79	Exonic	7908	uc002ste.4	0.3433	2083	0	Peak63338
chr14	90087503	90088003	501	*	153.79878	0.967	0.943	5	Microglia._.Other	25987	KCNK13	Intronic	25987	uc061lsa.1	0.4371	182	0	Peak63541
chr14	75237011	75237511	501	*	22.46929	0.682	0.557	5	Microglia._.D19-12703	41512	FOS	Distal	22149	uc002sro.4	0.511	1309	0	Peak63053
chr14	103921386	103921886	501	*	60.15959	0.828	0.75	5	Microglia._.Other	6632	ATP5MPL	Intronic	69	uc061mka.1	0.6347	774	0	Peak64125
chr14	89027191	89027691	501	*	18.48246	0.531	0.361	3	Microglia._.Other	203287	TTC8	Distal	129301	uc061lru.1	0.7365	1859	0	Peak63448
chr14	100347123	100347623	501	*	24.22068	0.706	0.589	4	Microglia._.D19-12703	24035	SLC25A47	Intronic	543	uc061lzc.1	0.5269	1211	0	Peak63959
chr14	58353493	58353993	501	*	8.02917	0.294	0.128	3	Microglia._.D19-12703	42172	TOMM20L	Exonic	288	uc061lcn.1	0.3453	2485	0	Peak62263
chr14	63752796	63753296	501	*	33.3004	0.799	0.713	3	Microglia._.D19-12703	25006	SGPP1	Distal	16601	uc061lfn.1	0.4671	888	0	Peak62467
chr14	22781145	22781645	501	*	13.86037	0.821	0.739	5	Microglia._.D19-13165	14872	OXA1L	Intronic	919	uc010feb.2	0.501	801	0	Peak61574
chr14	50874789	50875289	501	*	12.07641	0.396	0.213	3	Microglia._.Other	2878	ABHD12B	Intronic	2875	uc002snc.3	0.4132	2248	0	Peak62059
chr14	67619518	67620018	501	*	205.26393	0.986	0.973	5	Microglia._.Other	29	ARG2	Promoter	29	uc002spu.2	0.6886	97	0	Peak62593
chr14	68785513	68786013	501	*	55.10212	0.81	0.724	5	Microglia._.Other	10489	ZFP36L1	Distal	5479	uc061lhx.1	0.5609	856	0	Peak62737
chr14	89484359	89484859	501	*	21.64949	0.754	0.65	4	Microglia._.D19-13169	67254	FOXN3-AS1	Intronic	9441	uc061lrw.1	0.477	1053	0	Peak63486
chr14	89617686	89618186	501	*	27.79183	0.748	0.638	4	Microglia._.D19-12703	41719	FOXN3-AS2	Intronic	1193	uc061lrx.1	0.4531	1081	0	Peak63507
chr14	56092736	56093236	501	*	7.64414	0.334	0.164	3	Microglia._.D19-13169	24827	PELI2	Distal	17505	uc002snw.5	0.4112	2379	0	Peak62221
chr14	60657074	60657574	501	*	11.99972	0.536	0.374	4	Microglia._.D19-13169	934	SIX1	Intronic	934	uc061ldz.1	0.6886	1803	0	Peak62351
chr14	105388539	105389039	501	*	79.36713	0.881	0.821	5	Microglia._.Other	9789	MTA1	Exonic	166	uc061mlp.1	0.6487	554	0	Peak64218
chr14	53217356	53217856	501	*	101.33725	0.919	0.874	4	Microglia._.Other	64251	LOC101927620	Distal	105	uc061lal.1	0.6906	388	0	Peak62131
chr14	76191209	76191709	501	*	56.77856	0.816	0.731	4	Microglia._.Other	39542	GPATCH2L	Intronic	4448	uc032ntz.1	0.3852	827	0	Peak63142
chr14	58166312	58166812	501	*	15.8493	0.485	0.317	2	Microglia._.Other	33517	ACTR10	Intronic	13208	uc061lck.1	0.491	1941	0	Peak62249
chr14	70908175	70908675	501	*	19.03998	0.628	0.488	4	Microglia._.D19-12703	1019	PCNX1	Intronic	685	uc061ljm.1	0.7365	1524	0	Peak62851
chr14	77800192	77800692	501	*	114.56895	0.936	0.898	5	Microglia._.Other	358	ADCK1	Intronic	302	uc061lph.1	0.6906	328	0	Peak63310
chr14	89672590	89673090	501	*	38.91301	0.732	0.624	5	Microglia._.Other	96623	FOXN3-AS2	Intronic	21936	uc061lrx.1	0.483	1125	0	Peak63513
chr14	77047302	77047802	501	*	12.52959	0.478	0.29	3	Microglia._.D19-12703	6487	LINC02288	Intronic	6487	uc010fgy.4	0.4351	2036	0	Peak63244
chr14	22819080	22819580	501	*	23.35274	0.777	0.682	3	Microglia._.D19-13169	10489	SLC7A7	Intronic	390	uc061kmi.1	0.4731	952	0	Peak61589
chr14	58297047	58297547	501	*	3.40647	0.014	0.002	2	Microglia._.Other	836	PSMA3-AS1	Promoter	786	uc061lcm.1	0.3832	2855	0	Peak62257
chr14	69614580	69615080	501	*	56.77856	0.816	0.731	5	Microglia._.Other	3233	SUSD6	Intronic	2291	uc061lit.1	0.4251	825	0	Peak62790
chr14	89730669	89731169	501	*	81.16019	0.884	0.826	5	Microglia._.Other	154702	FOXN3-AS2	Intronic	18407	uc061lrx.1	0.4271	542	0	Peak63523
chr14	92492210	92492710	501	*	99.47076	0.916	0.868	5	Microglia._.Other	21313	RIN3	Intronic	21313	uc061ltb.1	0.499	411	0	Peak63671
chr14	22798453	22798953	501	*	40.89185	0.853	0.783	5	Microglia._.D19-12703	31116	SLC7A7	Intronic	16478	uc061kmi.1	0.4331	673	0	Peak61579
chr14	49868074	49868574	501	*	237.19263	0.993	0.985	5	Microglia._.Other	5474	RN7SL2	Distal	3997	uc061kyn.1	0.6727	54	0	Peak61996
chr14	49970487	49970987	501	*	9.05292	0.413	0.229	3	Microglia._.D19-13169	4337	MIR6076	Intronic	4337	uc002smr.4	0.4471	2205	0	Peak62005
chr14	59240313	59240813	501	*	12.07641	0.396	0.213	2	Microglia._.Other	51916	DAAM1	Intronic	22891	uc061lcr.1	0.4331	2254	0	Peak62300
chr14	63542691	63543191	501	*	32.77034	0.689	0.564	3	Microglia._.Other	432	PPP2R5E	Exonic	356	uc061lfl.1	0.7265	1279	0	Peak62455
chr14	64504484	64504984	501	*	48.72762	0.893	0.838	5	Microglia._.D19-12703	478	ZBTB25	Exonic	7	uc061lfq.1	0.6906	499	0	Peak62484
chr14	68633306	68633806	501	*	10.98767	0.428	0.245	2	Microglia._.D19-12703	162696	ZFP36L1	Distal	5110	uc061lhx.1	0.5389	2170	0	Peak62712
chr14	73786996	73787496	501	*	86.58238	0.895	0.84	5	Microglia._.Other	113	LOC100506476	Promoter	11	uc061llf.1	0.7944	493	0	Peak62957
chr14	76203376	76203876	501	*	43.65258	0.759	0.659	4	Microglia._.Other	51709	GPATCH2L	Exonic	7717	uc032ntz.1	0.497	1019	0	Peak63145
chr14	22811635	22812135	501	*	16.69186	0.664	0.527	3	Microglia._.D19-13169	17934	SLC7A7	Intronic	3296	uc061kmi.1	0.4052	1388	0	Peak61583
chr14	24299520	24300020	501	*	47.24121	0.939	0.901	5	Microglia._.D19-13169	62	DHRS1	Promoter	0	uc061kqb.1	0.6387	310	0	Peak61726
chr14	73311241	73311741	501	*	29.78221	0.665	0.537	3	Microglia._.Other	65511	LOC101928123	Intronic	12115	uc061lki.1	0.4311	1368	0	Peak62902
chr14	77027685	77028185	501	*	101.33725	0.919	0.874	4	Microglia._.Other	763	IRF2BPL	Exonic	150	uc061loj.1	0.7206	390	0	Peak63224
chr14	89616509	89617009	501	*	9.69559	0.32	0.142	3	Microglia._.Other	40542	FOXN3-AS2	Intronic	2370	uc061lrx.1	0.4291	2463	0	Peak63505
chr14	80942067	80942567	501	*	11.99972	0.536	0.374	4	Microglia._.D19-13169	12725	TSHR	Exonic	531	uc002std.2	0.4232	1817	0	Peak63320
chr14	102316777	102317277	501	*	79.45102	0.988	0.977	5	Microglia._.D19-13166	349	ZNF839	Promoter	349	uc061miq.1	0.5649	89	0	Peak64025
chr14	64659287	64659787	501	*	10.2573	0.418	0.238	3	Microglia._.D19-13166	44564	PLEKHG3	Distal	44564	uc061lfw.1	0.4711	2188	0	Peak62496
chr14	69318113	69318613	501	*	22.58626	0.588	0.435	3	Microglia._.Other	58720	GALNT16	Intronic	14158	uc061liq.1	0.509	1650	0	Peak62781
chr14	77407138	77407638	501	*	46.87028	0.775	0.676	3	Microglia._.Other	16128	NOXRED1	Intronic	9009	uc002ssq.3	0.4311	976	0	Peak63271
chr14	88492155	88492655	501	*	33.3004	0.799	0.713	5	Microglia._.D19-12703	62327	PTPN21	Intronic	6928	uc061lrr.1	0.479	890	0	Peak63435
chr14	21269330	21269830	501	*	59.91006	0.965	0.94	5	Microglia._.D19-13166	85	HNRNPC	Promoter	85	uc061klo.1	0.5469	183	0	Peak61536
chr14	58152013	58152513	501	*	61.1102	0.971	0.949	5	Microglia._.D19-13169	47816	ACTR10	Intronic	49	uc061lck.1	0.7206	162	0	Peak62248
chr14	68477241	68477741	501	*	7.64414	0.334	0.164	2	Microglia._.D19-13169	318761	ZFP36L1	Intronic	5457	uc061lhx.1	0.4691	2392	0	Peak62692
chr14	76753871	76754371	501	*	45.25582	0.768	0.67	5	Microglia._.Other	8067	VASH1	Distal	7266	uc061lof.1	0.479	987	0	Peak63166
chr14	95533742	95534242	501	*	14.56691	0.458	0.278	2	Microglia._.Other	362	SCARNA13	Promoter	252	uc061lvw.1	0.5509	2096	0	Peak63846
chr14	23567588	23568088	501	*	41.48499	0.917	0.871	4	Microglia._.D19-13169	231	AP1G2	Exonic	3	uc021vjf.1	0.5768	392	0	Peak61661
chr14	45250160	45250660	501	*	55.10212	0.81	0.724	5	Microglia._.Other	3129	MIS18BP1	Intronic	2766	uc061kxe.1	0.3872	853	0	Peak61964
chr14	99672463	99672963	501	*	37.35761	0.721	0.604	3	Microglia._.Other	11590	CYP46A1	Intronic	11590	uc002sxr.2	0.5409	1171	0	Peak63888
chr14	34714443	34714943	501	*	84.7678	0.892	0.836	4	Microglia._.Other	129	CFL2	Exonic	2	uc061kss.1	0.7545	503	0	Peak61846
chr14	55084606	55085106	501	*	10.98767	0.428	0.245	3	Microglia._.D19-12703	33224	MAPK1IP1L	Distal	21904	uc061lbl.1	0.3912	2164	0	Peak62193
chr14	100031566	100032066	501	*	8.55112	0.275	0.113	2	Microglia._.Other	60366	EVL	Intronic	12239	uc061lyo.1	0.4611	2542	0	Peak63910
chr14	22915519	22916019	501	*	6.28496	0.235	0.096	2	Microglia._.D19-13169	3177	PRMT5-AS1	Intronic	1786	uc061kmp.1	0.491	2554	0	Peak61606
chr14	68526695	68527195	501	*	19.83073	0.551	0.391	3	Microglia._.Other	269307	ZFP36L1	Intronic	18616	uc061lhx.1	0.501	1765	0	Peak62695
chr14	88017497	88017997	501	*	7.64414	0.334	0.164	2	Microglia._.D19-13169	6802	LINC01146	Distal	2135	uc002stn.3	0.4052	2402	0	Peak63411
chr14	102106304	102106804	501	*	45.25582	0.768	0.67	3	Microglia._.Other	32948	WDR20	Intronic	19362	uc061mio.1	0.4471	994	0	Peak64019
chr14	58199616	58200116	501	*	118.40058	0.94	0.904	5	Microglia._.Other	213	ACTR10	Promoter	213	uc061lck.1	0.6307	301	0	Peak62250
chr14	97544479	97544979	501	*	26.8547	0.636	0.499	3	Microglia._.Other	85912	LINC02325	Intronic	21633	uc061lxk.1	0.3972	1504	0	Peak63868
chr14	105315039	105315539	501	*	5.33326	0.096	0.018	3	Microglia._.Other	299	BRF1	Intronic	200	uc061mlm.1	0.7665	2812	0	Peak64206
chr14	21557567	21558067	501	*	11.85103	0.485	0.317	3	Microglia._.D19-13166	12926	OR10G3	Distal	12926	uc061kma.1	0.3653	1926	0	Peak61551
chr14	24315165	24315665	501	*	53.43536	0.803	0.717	4	Microglia._.Other	3964	LTB4R	Intronic	714	uc021vji.1	0.5389	874	0	Peak61734
chr14	34873500	34874000	501	*	149.7906	0.965	0.94	5	Microglia._.Other	1896	BAZ1A	Intronic	592	uc061kst.1	0.6447	186	0	Peak61850
chr14	45135081	45135581	501	*	7.44057	0.221	0.075	2	Microglia._.Other	11	FKBP3	Promoter	11	uc061kxb.1	0.3513	2642	0	Peak61960
chr14	50831549	50832049	501	*	9.48621	0.368	0.199	2	Microglia._.D19-12703	677	NIN	Promoter	677	uc002sna.3	0.5429	2284	0	Peak62056
chr14	89164639	89165139	501	*	28.31061	0.651	0.511	2	Microglia._.Other	252464	FOXN3-AS1	Intronic	8145	uc061lrw.1	0.5409	1462	0	Peak63451
chr14	100375392	100375892	501	*	38.91301	0.732	0.624	4	Microglia._.Other	775	WDR25	Promoter	1	uc002sya.4	0.519	1126	0	Peak63964
chr14	24483767	24484267	501	*	4.98173	0.124	0.038	2	Microglia._.D19-13169	24247	CMA1	Distal	17576	uc061kqp.1	0.491	2726	0	Peak61757
chr14	59483257	59483757	501	*	9.69559	0.32	0.142	2	Microglia._.Other	922	L3HYPDH	Promoter	177	uc032nsu.2	0.4571	2441	0	Peak62316
chr14	70018856	70019356	501	*	60.86875	0.935	0.896	5	Microglia._.D19-12703	164974	SMOC1	Intronic	24866	uc061liv.1	0.5469	329	0	Peak62832
chr14	81422403	81422903	501	*	11.99972	0.536	0.374	4	Microglia._.D19-13169	13811	STON2	Intronic	4399	uc021vks.1	0.4611	1818	0	Peak63357
chr14	92121478	92121978	501	*	44.78159	0.874	0.812	5	Microglia._.D19-12703	188	NDUFB1	Promoter	0	uc032nvb.2	0.6108	583	0	Peak63646
chr14	100074354	100074854	501	*	19.83073	0.551	0.391	3	Microglia._.Other	34909	MIR151B	Exonic	273	uc061lyp.1	0.501	1782	0	Peak63919
chr14	30621993	30622493	501	*	65.0059	0.945	0.909	5	Microglia._.D19-12703	130	SCFD1	Exonic	67	uc061krt.1	0.5669	284	0	Peak61781
chr14	50859895	50860395	501	*	14.56691	0.458	0.278	3	Microglia._.Other	12014	ABHD12B	Intronic	12014	uc002snc.3	0.517	2055	0	Peak62057
chr14	61326808	61327308	501	*	29.78221	0.665	0.537	3	Microglia._.Other	45217	TMEM30B	Exonic	144	uc002sor.4	0.4571	1361	0	Peak62362
chr14	69711105	69711605	501	*	6.36661	0.159	0.05	2	Microglia._.Other	15544	SRSF5	Exonic	15544	uc010fgo.5	0.5828	2698	0	Peak62821
chr14	75126818	75127318	501	*	56.77442	0.922	0.877	5	Microglia._.D19-12703	275	NEK9	Exonic	11	uc061lnf.1	0.6707	382	0	Peak63025
chr14	92654230	92654730	501	*	15.8493	0.485	0.317	2	Microglia._.Other	94221	LGMN	Intronic	1978	uc061ltc.1	0.497	1980	0	Peak63706
chr14	103508726	103509226	501	*	4.98173	0.124	0.038	2	Microglia._.D19-13169	14134	CKB	Distal	10110	uc061mjj.1	0.503	2751	0	Peak64096
chr14	20429852	20430352	501	*	12.52959	0.478	0.29	3	Microglia._.D19-12703	5539	KLHL33	Exonic	5539	uc061kjz.1	0.6307	2028	0	Peak61409
chr14	50231709	50232209	501	*	49.43328	0.939	0.901	5	Microglia._.D19-13166	400	SOS2	Promoter	400	uc061kyw.1	0.6966	313	0	Peak62034
chr14	54450456	54450956	501	*	13.30873	0.429	0.259	2	Microglia._.Other	9274	CNIH1	Distal	9274	uc061lav.1	0.3852	2117	0	Peak62135
chr14	59482170	59482670	501	*	13.86037	0.821	0.739	3	Microglia._.D19-13165	2009	L3HYPDH	Intronic	1264	uc032nsu.2	0.4491	803	0	Peak62315
chr14	77347652	77348152	501	*	4.98173	0.124	0.038	2	Microglia._.D19-13169	27017	GSTZ1	Intronic	19461	uc061lot.1	0.3892	2746	0	Peak63266
chr14	80954715	80955215	501	*	43.65258	0.759	0.659	4	Microglia._.Other	77	TSHR	Promoter	23	uc002std.2	0.5529	1022	0	Peak63321
chr14	104976037	104976537	501	*	43.65258	0.759	0.659	4	Microglia._.Other	2069	AHNAK2	Intronic	2069	uc061mle.1	0.6567	1030	0	Peak64164
chr14	24535728	24536228	501	*	5.2719	0.105	0.026	2	Microglia._.D19-12703	27712	CMA1	Distal	27712	uc061kqp.1	0.3633	2769	0	Peak61758
chr14	59255012	59255512	501	*	25.99533	0.728	0.613	4	Microglia._.D19-12703	66615	DAAM1	Intronic	8192	uc061lcr.1	0.4491	1136	0	Peak62303
chr14	67816364	67816864	501	*	77.5815	0.876	0.814	5	Microglia._.Other	23	ZFYVE26	Promoter	23	uc061lhv.1	0.5609	573	0	Peak62606
chr14	69398118	69398618	501	*	54.74442	0.916	0.868	5	Microglia._.D19-12703	258	ERH	Exonic	17	uc061lir.1	0.5349	404	0	Peak62782
chr14	75147965	75148465	501	*	4.34454	0.044	0.011	2	Microglia._.Other	20870	NEK9	Intronic	317	uc061lnf.1	0.3593	2825	0	Peak63031
chr14	89280493	89280993	501	*	11.99972	0.536	0.374	2	Microglia._.D19-13169	136610	FOXN3-AS1	Intronic	57400	uc061lrw.1	0.4731	1819	0	Peak63465
chr14	101761247	101761747	501	*	95.00557	0.985	0.972	5	Microglia._.D19-12703	300	PPP2R5C	Promoter	300	uc061mib.1	0.7525	106	0	Peak63983
chr14	49620011	49620511	501	*	26.8547	0.636	0.499	4	Microglia._.Other	423	RPL36AL	Promoter	423	uc002smi.2	0.5289	1478	0	Peak61978
chr14	52841291	52841791	501	*	6.28496	0.235	0.096	5	Microglia._.D19-13169	49872	GNPNAT1	Distal	19761	uc031rok.1	0.4551	2563	0	Peak62120
chr14	64716779	64717279	501	*	22.15842	0.732	0.624	4	Microglia._.D19-13166	12926	PLEKHG3	Intronic	1325	uc061lfw.1	0.5609	1115	0	Peak62504
chr14	69625308	69625808	501	*	71.34357	0.983	0.968	5	Microglia._.D19-13169	13961	SUSD6	Intronic	8435	uc061lit.1	0.523	116	0	Peak62795
chr14	69725430	69725930	501	*	79.36713	0.881	0.821	4	Microglia._.Other	1219	SRSF5	Promoter	1219	uc010fgo.5	0.4711	553	0	Peak62828
chr14	76977200	76977700	501	*	3.74477	0.04	0.007	3	Microglia._.D19-13169	17811	LINC01629	Distal	9684	uc002ssk.5	0.499	2840	0	Peak63216
chr14	68464601	68465101	501	*	6.28496	0.235	0.096	3	Microglia._.D19-13169	331401	ZFP36L1	Intronic	7181	uc061lhx.1	0.4192	2572	0	Peak62685
chr14	69726886	69727386	501	*	62.93204	0.94	0.904	5	Microglia._.D19-12703	235	SRSF5	Exonic	235	uc010fgo.5	0.6208	304	0	Peak62829
chr14	74905609	74906109	501	*	14.10826	0.523	0.347	2	Microglia._.D19-12703	17536	RPS6KL1	Exonic	1597	uc061lmq.1	0.5569	1882	0	Peak63011
chr14	75277918	75278418	501	*	8.70892	0.334	0.164	3	Microglia._.D19-13166	605	FOS	Promoter	605	uc002sro.4	0.499	2397	0	Peak63063
chr14	88128775	88129275	501	*	61.86379	0.834	0.758	4	Microglia._.Other	92705	LOC101928791	Distal	30819	uc061lro.1	0.4311	749	0	Peak63420
chr14	88130387	88130887	501	*	12.52959	0.478	0.29	3	Microglia._.D19-12703	94317	LOC101928791	Distal	29207	uc061lro.1	0.4172	2037	0	Peak63422
chr14	91510260	91510760	501	*	130.02318	0.951	0.92	5	Microglia._.Other	43	PPP4R3A	Promoter	29	uc002stw.3	0.7285	249	0	Peak63640
chr14	104815328	104815828	501	*	24.22068	0.706	0.589	4	Microglia._.D19-12703	5622	LINC00638	Distal	174	uc061mlb.1	0.6427	1214	0	Peak64156
chr14	104926394	104926894	501	*	33.3004	0.799	0.713	5	Microglia._.D19-12703	1827	PLD4	Intronic	1763	uc061mld.1	0.6088	893	0	Peak64161
chr14	22598002	22598502	501	*	122.25404	0.944	0.907	5	Microglia._.Other	14	ABHD4	Promoter	14	uc002sht.3	0.6168	290	0	Peak61566
chr14	22918424	22918924	501	*	15.8493	0.485	0.317	3	Microglia._.Other	272	PRMT5-AS1	Promoter	272	uc061kmp.1	0.477	1927	0	Peak61609
chr14	39267376	39267876	501	*	26.8547	0.636	0.499	3	Microglia._.Other	564	LOC100288846	Promoter	211	uc061kvv.1	0.5828	1477	0	Peak61929
chr14	68577749	68578249	501	*	56.77856	0.816	0.731	4	Microglia._.Other	218253	ZFP36L1	Intronic	32436	uc061lhx.1	0.4631	824	0	Peak62701
chr14	69648776	69649276	501	*	14.56691	0.458	0.278	3	Microglia._.Other	37429	SUSD6	Intronic	9483	uc061lit.1	0.3892	2074	0	Peak62802
chr14	73852507	73853007	501	*	48.49576	0.783	0.69	5	Microglia._.Other	785	ZNF410	Intronic	785	uc061lli.1	0.511	940	0	Peak62964
chr14	24296762	24297262	501	*	35.81517	0.711	0.596	2	Microglia._.Other	2820	DHRS1	Intronic	2355	uc061kqb.1	0.495	1177	0	Peak61724
chr14	34462186	34462686	501	*	194.78427	0.984	0.97	5	Microglia._.Other	79	SPTSSA	Promoter	79	uc061ksp.1	0.7645	108	0	Peak61837
chr14	35401804	35402304	501	*	19.83073	0.551	0.391	2	Microglia._.Other	2694	NFKBIA	Exonic	1183	uc061kug.1	0.4172	1756	0	Peak61880
chr14	91509442	91509942	501	*	19.83073	0.551	0.391	2	Microglia._.Other	861	PPP4R3A	Exonic	37	uc002stw.3	0.7645	1777	0	Peak63639
chr14	92551935	92552435	501	*	10.87143	0.361	0.184	3	Microglia._.Other	38410	RIN3	Intronic	3654	uc061ltb.1	0.5529	2359	0	Peak63688
chr14	106844569	106845069	501	*	126.12824	0.947	0.913	5	Microglia._.Other	6179	MIR5195	Distal	6179	uc002tbt.4	0.6727	277	0	Peak64245
chr14	20477412	20477912	501	*	20.7419	0.656	0.518	4	Microglia._.D19-12703	8707	PNP	Distal	572	uc061kkb.1	0.479	1420	0	Peak61420
chr14	30620660	30621160	501	*	3.40647	0.014	0.002	2	Microglia._.Other	1201	SCFD1	Promoter	1201	uc061krt.1	0.4491	2853	0	Peak61779
chr14	35122306	35122806	501	*	19.97046	0.728	0.613	4	Microglia._.D19-13169	38	PPP2R3C	Promoter	1	uc061ksy.1	0.5629	1134	0	Peak61858
chr14	39877783	39878283	501	*	21.19896	0.57	0.412	2	Microglia._.Other	445532	FBXO33	Distal	403097	uc002sll.3	0.4251	1710	0	Peak61941
chr14	51989807	51990307	501	*	4.34454	0.044	0.011	2	Microglia._.Other	581	RTRAF	Intronic	441	uc002sne.1	0.513	2814	0	Peak62098
chr14	68395475	68395975	501	*	8.55112	0.275	0.113	2	Microglia._.Other	400527	ZFP36L1	Intronic	8587	uc061lhx.1	0.4152	2521	0	Peak62676
chr14	73461414	73461914	501	*	17.15491	0.509	0.336	2	Microglia._.Other	1977	LOC101928143	Intronic	758	uc002sqw.2	0.4371	1899	0	Peak62912
chr14	77038036	77038536	501	*	21.19896	0.57	0.412	3	Microglia._.Other	2777	LINC02288	Distal	2777	uc010fgy.4	0.5848	1723	0	Peak63234
chr14	92258401	92258901	501	*	15.8493	0.485	0.317	2	Microglia._.Other	63929	SLC24A4	Distal	5004	uc061lta.1	0.4271	1979	0	Peak63648
chr14	104806691	104807191	501	*	10.98767	0.428	0.245	3	Microglia._.D19-12703	6027	ZBTB42	Distal	6027	uc061mla.1	0.495	2181	0	Peak64155
chr14	22836294	22836794	501	*	22.58626	0.588	0.435	4	Microglia._.Other	12	MMP14	Promoter	12	uc061kmk.1	0.5669	1639	0	Peak61595
chr14	23105911	23106411	501	*	15.8493	0.485	0.317	2	Microglia._.Other	10546	ACIN1	Distal	10546	uc061knb.1	0.5309	1928	0	Peak61624
chr14	24313838	24314338	501	*	51.77863	0.797	0.703	5	Microglia._.Other	2637	LTB4R	Exonic	173	uc021vji.1	0.495	906	0	Peak61732
